Machine,Production,Order Operation No,Current,Humidity,Temperature,Flow,Job Temp,Voltage,Defect
TWLD23,E15002965,240,1.13,74,23,0.01,29.3,15.2,No Defect
TWLD23,E15002965,240,2.91,74,23,0,29.3,0,No Defect
TWLD23,E15002965,240,0.04,74,23,0,29.3,0,No Defect
TWLD23,E15002965,240,2.51,74,23,0,27.8,0,No Defect
TWLD23,E15002965,240,0.24,74,23,0,27.8,0,No Defect
TWLD23,E15002965,240,-0.9,74,23,0,27.8,0,No Defect
TWLD23,E15002965,240,2.61,74,23,0,28,0,No Defect
TWLD23,E15002965,240,10.51,74,23,0,28,9.062,No Defect
TWLD23,E15002965,240,2.35,74,23,0,28,0,No Defect
TWLD23,E15002965,240,0.84,74,23,0,28.2,0,No Defect
TWLD23,E15002965,240,2.4,74,23,0,28.2,0,No Defect
TWLD23,E15002965,240,-1.22,74,23,0.04,28.2,0,No Defect
TWLD23,E15002965,240,-0.99,74,23,0,28.2,0,No Defect
TWLD23,E15002965,240,2.1,74,23,0,28,0,No Defect
TWLD23,E15002965,240,0.73,74,23,0,28,0,No Defect
TWLD23,E15002965,240,2.85,74,23,0,28,0,No Defect
TWLD23,E15002965,240,2.5,74,23,0,28.2,0,No Defect
TWLD23,E15002965,240,5.42,74,23,0,28.2,13.025,No Defect
TWLD23,E15002965,240,5.8,74,23,0,28.2,13.744,No Defect
TWLD23,E15002965,240,9.44,74,23,0,28.2,10.852,No Defect
TWLD23,E15002965,240,10.73,74,23,0,28.1,9.994,No Defect
TWLD23,E15002965,240,12.82,74,23,0,28.1,9.354,No Defect
TWLD23,E15002965,240,15.32,74,23,0,28.1,9.361,No Defect
TWLD23,E15002965,240,15.09,74,23,0.01,28,9.204,No Defect
TWLD23,E15002965,240,17.63,74,23,0.01,28,9.169,No Defect
TWLD23,E15002965,240,16.78,74,23,0,29.2,9.024,No Defect
TWLD23,E15002965,240,18.47,74,23,0,29.2,8.937,No Defect
TWLD23,E15002965,240,15.33,74,23,0,28.3,8.779,No Defect
TWLD23,E15002965,240,0.61,74,23,0,28.3,8.976,No Defect
TWLD23,E15002965,240,-1.23,74,23,0,28.3,-2.397,No Defect
TWLD23,E15002965,240,3.5,74,23,0,28.1,0,No Defect
TWLD23,E15002965,240,6.73,74,23,0,28.1,0,No Defect
TWLD23,E15002965,240,16.24,74,23,0,28.1,10.542,No Defect
TWLD23,E15002965,240,21.77,74,23,0,28.1,8.84,No Defect
TWLD23,E15002965,240,23.78,74,23,0,28.1,8.653,No Defect
TWLD23,E15002965,240,1.44,74,23,0,28.1,0,No Defect
TWLD23,E15002965,240,1.68,74,23,0,28.1,0,No Defect
TWLD23,E15002965,240,-0.52,74,23,0,28.2,0,No Defect
TWLD23,E15002965,240,13.38,74,23,0,28.2,0,No Defect
TWLD23,E15002965,240,29.5,74,23,0,27.9,8.198,No Defect
TWLD23,E15002965,240,29.76,74,23,0,27.9,8.282,No Defect
TWLD23,E15002965,240,30.31,74,23,0,28.3,8.248,No Defect
TWLD23,E15002965,240,23.29,74,23,0,28.3,8.531,No Defect
TWLD23,E15002965,240,24.22,74,23,0,28.3,8.403,No Defect
TWLD23,E15002965,240,24.66,74,23,0,29,8.382,No Defect
TWLD23,E15002965,240,25.85,74,23,0,29,8.109,No Defect
TWLD23,E15002965,240,4.36,74,23,0,29.4,8.171,No Defect
TWLD23,E15002965,240,0.61,74,23,0,29.4,10.768,No Defect
TWLD23,E15002965,240,1.71,74,23,0,30.1,0,No Defect
TWLD23,E15002965,240,2.07,74,23,0,30.1,0,No Defect
TWLD23,E15002965,240,1.91,74,23,0,29.3,0,No Defect
TWLD23,E15002965,240,2.67,74,23,0,29.3,0,No Defect
TWLD23,E15002965,240,2,74,23,0,29,0,No Defect
TWLD23,E15002965,240,1.22,74,23,0,29,0,No Defect
TWLD23,E15002965,240,1.58,74,23,0,29,0,No Defect
TWLD23,E15002965,240,0.01,74,23,0,29.3,0,No Defect
TWLD23,E15002965,240,1,74,23,0,29.3,0,No Defect
TWLD23,E15002965,240,-0.98,74,23,0,28.4,0,No Defect
TWLD23,E15002965,240,-1.22,74,23,0,28.4,0,No Defect
TWLD23,E15002965,240,1.61,74,23,0,30.7,0,No Defect
